Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.44     0.00     1590     0.00     0.00  void std::vector<val_t, std::allocator<val_t> >::_M_realloc_insert<val_t const&>(__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, val_t const&)
  0.00      1.44     0.00     1304     0.00     0.13  void ADS_set<val_t, 7ul>::insert<__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > > >(__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >)
  0.00      1.44     0.00     1163     0.00     0.00  __gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > > std::__unguarded_partition<__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__ops::_Iter_comp_iter<std::less<val_t> > >(__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__ops::_Iter_comp_iter<std::less<val_t> >)
  0.00      1.44     0.00     1163     0.00     0.00  void std::__move_median_to_first<__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__ops::_Iter_comp_iter<std::less<val_t> > >(__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__ops::_Iter_comp_iter<std::less<val_t> >)
  0.00      1.44     0.00     1100     0.00     0.00  test_count(ADS_set<val_t, 7ul> const&, std::set<val_t, std::less<val_t>, std::allocator<val_t> > const&, unsigned long)
  0.00      1.44     0.00     1000     0.00     0.00  ADS_set<val_t, 7ul>::clear()
  0.00      1.44     0.00      900     0.00     0.00  test_size(ADS_set<val_t, 7ul> const&, std::set<val_t, std::less<val_t>, std::allocator<val_t> > const&)
  0.00      1.44     0.00      800     0.00     0.00  std::vector<val_t, std::allocator<val_t> >::_M_erase(__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >)
  0.00      1.44     0.00      800     0.00     0.00  __gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > > std::__adjacent_find<__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__ops::_Iter_comp_iter<std::equal_to<val_t> > >(__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__ops::_Iter_comp_iter<std::equal_to<val_t> >)
  0.00      1.44     0.00      800     0.00     0.00  __gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > > std::__unique<__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__ops::_Iter_comp_iter<std::equal_to<val_t> > >(__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__ops::_Iter_comp_iter<std::equal_to<val_t> >)
